TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2016-11-14,ALAN S. LOWENTHAL,L000579,2016-11-21,KMB,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-14,LOIS FRANKEL,F000462,2016-11-18,ADI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-14,DEBBIE DINGELL,D000624,2016-11-29,NYLD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-14,DEBBIE DINGELL,D000624,2016-11-29,AXP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-15,LOUISE MCINTOSH SLAUGHTER,S000480,2016-12-05,PG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,DIS,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,JCI,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,GOOGL,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,GILD,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,MCK,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,EARL BLUMENAUER,B000574,2016-11-21,NWN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,ABT,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,SBUX,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-15,LLOYD DOGGETT,D000399,2016-12-05,PG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-15,SHELDON WHITEHOUSE,W000802,2016-12-12,BA,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,NSRGY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,EARL BLUMENAUER,B000574,2016-12-09,NWN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,CASY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,CVS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,TGT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,SHELDON WHITEHOUSE,W000802,2017-08-10,LW,EXCHANGE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,SYF,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-16,LOIS FRANKEL,F000462,2016-12-22,JPM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,LOIS FRANKEL,F000462,2016-12-22,CXW,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,BRENDA LULENAR LAWRENCE,L000581,2016-12-16,JCP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,BRENDA LULENAR LAWRENCE,L000581,2016-12-16,MRO,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,DEBBIE WASSERMAN SCHULTZ,W000797,2016-12-25,SGBK,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,LOIS FRANKEL,F000462,2016-12-22,MKL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,LOIS FRANKEL,F000462,2016-12-22,CASY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,DEBBIE WASSERMAN SCHULTZ,W000797,2016-12-25,FTR,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,BRENDA LULENAR LAWRENCE,L000581,2016-12-16,FB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,THOMAS R. CARPER,C000174,2016-12-01,RAI,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-11-17,DEBBIE WASSERMAN SCHULTZ,W000797,2016-12-25,NGD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-17,DEBBIE WASSERMAN SCHULTZ,W000797,2017-08-04,SGBK,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-21,LOIS FRANKEL,F000462,2016-12-22,EPAM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
