Representative,BioGuideID,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
Tom Malinowski,M001203,2020-10-08,OSUR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Donald Sternoff Beyer Jr,B001292,2020-10-08,EL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-07,EFX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-07,KMX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-07,CSGP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-07,FLIR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Ed Perlmutter,P000593,2020-10-07,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Lois Frankel,F000462,2020-10-07,PFE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Lois Frankel,F000462,2020-10-07,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-07,OSUR,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Susie Lee,L000590,2020-10-07,VRT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-07,LITE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-07,RUN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-07,RUN,Sale,$486.57,Representatives,486.57,D
Alan S. Lowenthal,L000579,2020-10-07,RUN,Sale,$324.38,Representatives,324.38,D
Susie Lee,L000590,2020-10-07,APTV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-07,RUN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-07,CDAY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-06,NBL,Exchange,"$1,001 - $15,000",Representatives,1001.0,R
Alan S. Lowenthal,L000579,2020-10-06,RUN,Sale,$800.43,Representatives,800.43,D
Josh Gottheimer,G000583,2020-10-06,YNDX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-06,YEXT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-06,CVX,Exchange,"$1,001 - $15,000",Representatives,1001.0,R
Gilbert Cisneros,C001123,2020-10-06,AMTD,Exchange,"$15,001 - $50,000",Representatives,15001.0,D
K. Michael Conaway,C001062,2020-10-06,CVX,Exchange,"$15,001 - $50,000",Representatives,15001.0,R
K. Michael Conaway,C001062,2020-10-06,NBL,Exchange,"$15,001 - $50,000",Representatives,15001.0,R
Kathy Castor,C001066,2020-10-05,BRK.B,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Thomas Suozzi,S001201,2020-10-05,WKHS,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Mark Green,G000590,2020-10-05,GMLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,GEL,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,GMLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,USDP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,SPH,Sale,"$100,001 - $250,000",Representatives,100001.0,R
Mark Green,G000590,2020-10-05,SPH,Sale,"$250,001 - $500,000",Representatives,250001.0,R
Mark Green,G000590,2020-10-05,ENBL,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Donald Sternoff Beyer Jr,B001292,2020-10-05,GH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Mark Green,G000590,2020-10-05,SMLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,MMLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,SRLP,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,WES,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,NBLX,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Thomas Suozzi,S001201,2020-10-05,NIO,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Mark Green,G000590,2020-10-05,PBFX,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,AM,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
Mark Green,G000590,2020-10-05,NGL,Sale,"$100,001 - $250,000",Representatives,100001.0,R
David B. Mckinley,M001180,2020-10-05,TMO,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,MPLX,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
Donald Sternoff Beyer Jr,B001292,2020-10-05,GS,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Donald Sternoff Beyer Jr,B001292,2020-10-05,NVS,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Mark Green,G000590,2020-10-05,USAC,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,SHLX,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,USAC,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
Mark Green,G000590,2020-10-05,ET,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
David B. Mckinley,M001180,2020-10-05,CERN,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-05,ENLC,Sale,"$15,001 - $50,000",Representatives,15001.0,R
John A. Yarmuth,Y000062,2020-10-05,PLD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Mark Green,G000590,2020-10-05,CEQP,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-05,GLOP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Tom Malinowski,M001203,2020-10-02,APEN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-02,GPK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Robert J. Wittman,W000804,2020-10-02,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Susie Lee,L000590,2020-10-02,DLTR,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dean Phillips,P000616,2020-10-02,MU,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-02,BIO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
